

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.040000,0.010000,0.001600

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.040000,0.010000,0.001600

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"34737",25 Feb 2014 11:05:12.752,15.293110,4.3065e-006,1.0000e-305,0.0000e+000,-1.8873e-020
"31887",25 Feb 2014 13:53:17.041,14.057754,3.4885e-006,1.0000e-305,0.0000e+000,2.1570e-020
"36684",25 Feb 2014 13:55:27.063,1.709214,2.3395e-004,1.0000e-305,0.0000e+000,-5.3492e-019
"34458",25 Feb 2014 14:25:21.466,10.582634,1.0963e-005,1.0000e-305,0.0000e+000,-2.9119e-020
"33971",25 Feb 2014 15:15:30.244,4.430377,6.0499e-005,1.0000e-305,0.0000e+000,-5.5218e-018
"38213",25 Feb 2014 16:05:34.240,14.904195,5.7334e-006,1.0000e-305,0.0000e+000,-9.1670e-021
"36476",25 Feb 2014 16:05:40.066,19.364899,3.6126e-006,1.0000e-305,0.0000e+000,-9.6631e-019
"34626",25 Feb 2014 16:07:21.352,8.998434,2.3875e-005,1.0000e-305,7.4773e-314,-5.6620e-021
"36225",25 Feb 2014 16:50:28.865,15.499652,8.6320e-006,1.0000e-305,0.0000e+000,-1.0111e-020
"6061",25 Feb 2014 17:45:47.629,7.852484,2.5676e-005,1.0000e-305,0.0000e+000,-3.0715e-018
"5422",25 Feb 2014 18:25:12.872,15.422905,4.2550e-006,1.0000e-305,0.0000e+000,-1.1216e-019
"6061",25 Feb 2014 18:35:55.604,18.068961,4.8561e-006,1.0000e-305,0.0000e+000,-2.6153e-020
"30090",25 Feb 2014 19:18:07.511,10.501098,1.2142e-005,1.0000e-305,0.0000e+000,-1.4290e-020
"33876",25 Feb 2014 21:01:39.396,9.656366,1.7449e-005,1.0000e-305,0.0000e+000,-1.5099e-020
"34850",25 Feb 2014 21:06:51.867,18.505398,4.8844e-006,1.0000e-305,0.0000e+000,-2.6423e-020
"25173",25 Feb 2014 21:16:19.501,12.207487,2.4071e-005,1.0000e-305,0.0000e+000,9.8411e-021
"31538",25 Feb 2014 22:05:33.175,15.805318,2.9713e-006,1.0000e-305,0.0000e+000,-9.1670e-021
"35830",25 Feb 2014 22:38:35.157,10.182660,1.4849e-005,1.0000e-305,0.0000e+000,-3.5050e-021
"31768",26 Feb 2014 00:21:41.541,16.345631,8.1610e-006,1.0000e-305,0.0000e+000,-4.7183e-021
"34635",26 Feb 2014 00:26:59.250,17.253622,5.2538e-006,1.0000e-305,0.0000e+000,-7.0101e-021
"10761",26 Feb 2014 01:58:56.838,19.054081,3.9787e-006,1.0000e-305,0.0000e+000,-4.0443e-021
"30851",26 Feb 2014 03:00:57.857,8.681385,1.2027e-005,1.0000e-305,0.0000e+000,-2.1570e-019
"25118",26 Feb 2014 03:07:10.820,19.024351,6.1287e-006,1.0000e-305,0.0000e+000,8.6278e-021
"33791",26 Feb 2014 03:11:10.332,9.469517,6.7865e-006,1.0000e-305,0.0000e+000,-2.0491e-020
"35126",26 Feb 2014 03:44:45.291,10.108031,1.8705e-005,1.0000e-305,0.0000e+000,-8.5200e-020
"35976",26 Feb 2014 04:38:51.789,7.319226,1.4482e-005,1.0000e-305,0.0000e+000,-3.3972e-020
"25118",26 Feb 2014 04:47:25.497,12.077636,1.5229e-005,1.0000e-305,0.0000e+000,2.5452e-019
"34878",26 Feb 2014 05:19:46.844,13.551621,6.8090e-006,1.0000e-305,0.0000e+000,-1.4559e-020
"16864",26 Feb 2014 05:32:14.110,19.720094,7.4000e-006,1.0000e-305,0.0000e+000,-2.4535e-020
"25118",26 Feb 2014 05:37:29.937,14.875863,1.0047e-005,1.0000e-305,0.0000e+000,9.6631e-019
"25118",26 Feb 2014 06:27:40.194,5.232485,8.1198e-005,1.0000e-305,0.0000e+000,6.2552e-020
"12343",26 Feb 2014 07:10:27.039,2.899052,1.2983e-004,1.0000e-305,3.1334e-319,-1.0246e-019
"25118",26 Feb 2014 07:17:44.634,7.681521,3.7728e-005,1.0000e-305,0.0000e+000,-4.8316e-019
"25118",26 Feb 2014 08:07:54.911,3.220226,2.1433e-004,1.0000e-305,0.0000e+000,9.2749e-020
"10967",26 Feb 2014 08:22:13.700,19.276525,5.9801e-006,1.0000e-305,0.0000e+000,7.0101e-021
"38122",26 Feb 2014 08:44:59.528,19.767466,5.5161e-006,1.0000e-305,0.0000e+000,2.6962e-021
"25118",26 Feb 2014 08:57:59.350,0.401540,1.1792e-002,1.0000e-305,0.0000e+000,5.5218e-019
